Conseil;Banque;Assurance
consultant senior;analyste de crédit;actuaire
consultant junior;analyste financier;chargé d'études actuarielles
business manager;conseiller;chargée d'études actuarielles
consultant manager;conseiller en assurance;conseiller en assurance
actuarial consultant;directeur financier;conseillère en assurance
consultante senior;conseillère;manager des risques
consultante junior;conseillère en assurance;expert en assurance
consultante manager;directrice financière;experte en assurance
consultante actuaire;gérant de portefeuille;chargé d'indemnisation
cabinet de conseil;gérante de portefeuille;chargée d'indemnisation
;trader;assurance
;banque;
